make,drive-wheels,length,width,height,price
saab,fwd,186.6,66.5,56.1,12170
saab,fwd,186.6,66.5,56.1,15040
saab,fwd,186.6,66.5,56.1,15510
saab,fwd,186.6,66.5,56.1,18150
saab,fwd,186.6,66.5,56.1,18620
subaru,fwd,156.9,63.4,53.7,5118
subaru,fwd,157.9,63.6,53.7,7053
subaru,4wd,157.3,63.8,55.7,7603
subaru,fwd,172,65.4,52.5,7126
subaru,fwd,172,65.4,52.5,7775
subaru,fwd,172,65.4,52.5,9960
subaru,4wd,172,65.4,54.3,9233
subaru,4wd,172,65.4,54.3,11259
subaru,fwd,173.5,65.4,53,7463
subaru,fwd,173.5,65.4,53,10198
subaru,4wd,173.6,65.4,54.9,8013
subaru,4wd,173.6,65.4,54.9,11694
toyota,fwd,158.7,63.6,54.5,5348
toyota,fwd,158.7,63.6,54.5,6338
toyota,fwd,158.7,63.6,54.5,6488
toyota,fwd,169.7,63.6,59.1,6918
toyota,4wd,169.7,63.6,59.1,7898
toyota,4wd,169.7,63.6,59.1,8778
toyota,fwd,166.3,64.4,53,6938
toyota,fwd,166.3,64.4,52.8,7198
toyota,fwd,166.3,64.4,53,7738
toyota,fwd,166.3,64.4,52.8,8358
toyota,fwd,166.3,64.4,52.8,9258
toyota,rwd,168.7,64,52.6,8058
toyota,rwd,168.7,64,52.6,8238
toyota,rwd,168.7,64,52.6,9298
toyota,rwd,168.7,64,52.6,9538
toyota,rwd,176.2,65.6,52,8449
toyota,rwd,176.2,65.6,52,9639
toyota,rwd,176.2,65.6,52,9989
toyota,rwd,176.2,65.6,52,11199
toyota,rwd,176.2,65.6,52,11549
toyota,rwd,176.2,65.6,53,17669
toyota,fwd,175.6,66.5,54.9,8948
toyota,fwd,175.6,66.5,53.9,9988
toyota,fwd,175.6,66.5,54.9,10898
toyota,fwd,175.6,66.5,53.9,11248
toyota,rwd,183.5,67.7,52,16558
toyota,rwd,183.5,67.7,52,15998
toyota,rwd,187.8,66.5,54.1,15690
toyota,rwd,187.8,66.5,54.1,15750
volkswagen,fwd,171.7,65.5,55.7,7975
volkswagen,fwd,171.7,65.5,55.7,8195
volkswagen,fwd,171.7,65.5,55.7,8495
volkswagen,fwd,171.7,65.5,55.7,9995
volkswagen,fwd,159.3,64.2,55.6,11595
volkswagen,fwd,165.7,64,51.4,9980
volkswagen,fwd,180.2,66.9,55.1,13295
volkswagen,fwd,183.1,66.9,55.1,12290
volvo,rwd,188.8,67.2,56.2,12940
volvo,rwd,188.8,67.2,57.5,13415
volvo,rwd,188.8,67.2,56.2,15985
volvo,rwd,188.8,67.2,57.5,16515
volvo,rwd,188.8,67.2,56.2,18420
volvo,rwd,188.8,67.2,57.5,18950
volvo,rwd,188.8,68.9,55.5,16845
volvo,rwd,188.8,68.8,55.5,19045
volvo,rwd,188.8,68.9,55.5,21485
volvo,rwd,188.8,68.9,55.5,22625
